sample-id,label
1258,1
1301,0
1203,0
1068,0
1490,1
1145,0
1457,1
1048,0
1001,1
1495,1
1377,0
1502,0
1221,0
1205,0
1384,0
1212,0
1151,0
1496,0
1210,0
1010,0
1369,0
1078,0
1264,0
1448,0
1476,0
1351,1
1027,0
1193,0
1038,0
1112,1
1267,1
1426,1
1179,0
1287,1
1098,0
1461,0
1044,1
1318,1
2027,0
1103,0
1128,1
1430,1
1435,1
1249,1
1115,1
1121,1
1487,1
1217,1
1154,1
1219,1
1016,0
1086,0
1250,0
1368,0
1404,1
1076,0
2012,0
1479,0
1397,0
1042,1
1177,0
1071,1
1286,1
2039,0
1359,1
1126,1
1157,1
1364,0
2010,0
1247,0
1285,0
1290,0
1107,0
1411,0
2038,1
1184,0
1226,0
1320,0
1353,0
1294,0
1140,1
1380,0
1085,1
1135,1
1488,1
1118,1
1056,0
1026,1
1248,0
2026,0
1053,0
1491,1
1030,1
1410,1
1129,0
1020,0
1037,1
1283,0
1325,1
1340,0
1111,0
1481,0
1358,1
1276,0
1230,0
1279,0
1422,0
1492,0
1394,1
1275,0
1265,0
1228,0
1402,0
1214,0
1079,1
1150,0
2036,1
1046,0
1149,0
1472,1
1348,1
1018,1
1450,1
1419,1
1131,0
1497,0
1015,0
1033,0
1070,1
1039,1
1268,0
2045,1
1458,0
1428,0
1059,1
1003,0
1207,0
1130,1
1028,0
1074,1
1109,0
1114,0
1032,0
1339,0
1493,0
1013,1
1381,0
2018,0
2020,1
1471,1
1190,0
1414,0
1395,0
1123,0
1156,1
1092,0
1365,0
1312,0
1023,0
1371,1
1066,0
1168,0
1152,0
1105,1
1100,1
1087,1
1093,0
1273,0
1288,1
1073,1
1122,0
1305,1
1014,1
1486,1
1311,0
1021,1
1291,1
1333,0
1055,0
1434,0
1438,1
1403,0
1116,0
1501,1
1452,1
1453,0
1505,0
1200,0
1439,0
1146,0
1418,1
1095,0
1382,1
1240,0
2037,0
1186,0
1241,1
1097,1
1142,0
1102,0
1017,1
1270,1
1401,1
1362,0
1437,1
1341,1
1005,0
1506,1
1136,1
1445,0
1366,0
1469,0
1261,0
1347,1
1159,0
1392,1
1398,1
1478,0
1072,0
1094,0
1480,1
1373,1
1061,0
1465,0
1246,0
1209,0
1379,0
1188,1
1334,0
1406,1
1185,1
1355,0
1367,0
1306,0
1483,0
1342,1
1234,0
1470,1
1172,1
1324,0
1278,1
1180,1
2015,0
1376,1
1041,1
1243,0
1173,0
1442,0
1322,0
1266,0
1091,0
1238,0
1025,0
1313,0
1080,1
1101,1
1166,0
1029,1
1299,0
1338,0
1451,1
1113,0
1354,0
1155,0
1303,1
1036,1
1175,0
1421,0
1374,1
1330,1
1195,0
1462,0
1335,0
1503,0
2021,0
1137,0
1088,0
1295,0
1292,0
1387,0
1153,0
1162,0
2032,0
1063,1
1326,0
1011,0
1390,0
1328,1
1043,0
1049,0
1057,0
1147,1
1317,0
1363,0
1232,0
1141,0
1360,1
1352,1
1174,0
1004,0
1277,0
1474,0
1245,1
1449,0
1242,0
1257,0
1304,0
2009,1
1482,0
1455,1
1132,0
1106,0
1307,0
1138,1
1171,1
1077,1
1239,1
1289,0
1467,1
1054,1
1370,1
1002,1
1308,1
1110,0
1314,0
1269,0
1331,0
1332,0
2004,1
1254,1
1327,0
1012,0
1236,0
1309,0
1183,0
1259,0
1170,0
1459,0
2019,0
1022,0
1213,1
1164,1
2007,1
2029,0
1019,1
1477,1
1378,0
1255,0
1420,0
2043,1
2028,1
1075,1
1089,0
1034,0
1143,0
1211,1
1375,0
1181,0
1494,1
1124,0
1357,0
1084,1
1413,0
2040,1
2017,0
1454,0
1337,0
1051,0
1160,1
1416,1
1489,0
1498,0
1323,0
1148,0
1350,1
1473,0
1315,1
1412,1
1316,0
1456,0
1007,1
1336,0
1104,1
1009,1
1424,1
2031,0
1329,1
1134,0
1475,1
1260,0
1235,0
1081,0
2003,1
1399,1
1120,0
1024,0
1006,0
1346,0
1227,0
1215,1
1201,0
1500,0
1415,0
1388,0
1237,0
1271,0
2008,1
1391,0
2002,1
1127,0
2022,0
1427,0
1389,0
1202,1
1468,1
1158,1
1423,0
1393,0
1196,1
1443,1
1222,0
1204,0
1008,0
1263,0
1298,0
1321,0
1464,0
1433,0
2011,1
1163,0
1082,0
1224,0
1167,0
1169,0
1310,1
1447,1
1300,0
1208,0
2033,0
1050,0
1272,0
1372,0
1297,0
1319,0
1096,0
1194,0
1407,0
1383,0
1069,0
1499,0
1058,1
1463,0
1220,0
1432,0
1296,0
1274,1
1386,0
1343,0
1067,1
1139,0
1400,1
1099,1
1199,1
1144,0
1256,0
1405,0
1302,0
1035,1
2023,1
1485,1
1031,0
1176,0
1045,0
1192,0
1409,1
1460,0
1233,0
2044,1
1062,1
1466,1
2024,1
1117,1
1040,1
1161,1
1090,1
1125,0
1484,0
1504,0
1441,0
1182,0
2041,0
1133,1
1344,0
1197,1
1047,1
1385,0
1253,0
1065,1
1231,0
1187,1
1229,1
1206,0
